1,Rails 4 Test Prescriptions,1,1
2,Metaprogramming Ruby 2,2,1
3,Programming Ruby 1.9 & 2.0,3,1
4,Pragmatic Programmer,3,2
5,Practical Object Oriented Design in Ruby,4,2
6,The Rails 4 Way,5,2
7,Objective-C Programming,6,3
8,iOS Programming,6,3
9,JavaScript: The Good Parts,7,4
10,JavaScript: The Definitive Guide,8,4
11,Functional JavaScript,9,4
12,Build iOS Games with SpriteKit,10,1
13,Test iOS Apps with UI Automation,10,1
14,Design Patterns in Ruby,11,2
15,Eloquent Ruby,11,2
16,Web Design with HTML & CSS,12,5
17,JavaScript and jQuery,12,5
18,Well-Grounded Rubyist,13,6
19,Essential Algorithms,14,5
20,Introduction to Algorithms,15,7
